#CHROM	START	END	LOCUS	SYMBOL	strand	annotation
Chr2	3798022	3800737	LOC_Os02g07360	-	+	pentatricopeptide_containing_protein,putative,expressed
Chr2	3827674	3830184	LOC_Os02g07410	-	+	glycine_cleavage_system_H_protein,putative,expressed
Chr2	3830481	3832335	LOC_Os02g07420	-	-	splicing_factor,arginine%2Fserine-rich_12,putative,expressed
Chr2	3833129	3837135	LOC_Os02g07430	OsMADS29	-	OsMADS29_-_MADS-box_family_gene_with_MIKCc_type-box,expressed
Chr2	3843538	3843987	LOC_Os02g07440	-	+	DEFL78_-_Defensin_and_Defensin-like_DEFL_family,expressed
Chr2	3846025	3850131	LOC_Os02g07450	-	-	core_histone_H2A%2FH2B%2FH3%2FH4,putative,expressed
Chr2	3853277	3853737	LOC_Os02g07460	-	-	expressed_protein
Chr2	3855934	3863872	LOC_Os02g07480	-	-	transglycosylase_SLT_domain_containing_protein,expressed
Chr2	3868113	3872945	LOC_Os02g07490	-	+	glyceraldehyde-3-phosphate_dehydrogenase,putative,expressed
Chr2	3874598	3875019	LOC_Os02g07495	-	+	expressed_protein
Chr2	3909437	3910014	LOC_Os02g07550	-	+	DEFL1_-_Defensin_and_Defensin-like_DEFL_family,expressed
Chr2	3926846	3927219	LOC_Os02g07575	-	+	expressed_protein
Chr2	3927876	3928671	LOC_Os02g07580	-	+	expressed_protein
Chr2	3932584	3933222	LOC_Os02g07600	-	+	DEF3_-_Defensin_and_Defensin-like_DEFL_family,expressed
Chr2	3946045	3946543	LOC_Os02g07624	-	+	gamma-thionin_family_domain_containing_protein,expressed
Chr2	3948762	3949211	LOC_Os02g07628	-	+	gamma-thionin_family_domain_containing_protein,expressed
Chr2	3950378	3955899	LOC_Os02g07630	-	-	copper-transporting_ATPase,putative,expressed
Chr2	3964026	3965486	LOC_Os02g07640	-	+	expressed_protein
Chr2	3971431	3975149	LOC_Os02g07650	-	+	zinc-binding_protein,putative,expressed
Chr2	3977836	3978630	LOC_Os02g07654	-	-	expressed_protein
Chr2	3992040	3995076	LOC_Os02g07670	-	-	URED,putative,expressed
Chr2	3995980	4006898	LOC_Os02g07680	-	+	cytochrome_P450,putative,expressed
Chr2	4008991	4010136	LOC_Os02g07690	-	+	VQ_domain_containing_protein,putative,expressed
Chr2	4014441	4015313	LOC_Os02g07700	-	+	expressed_protein
Chr2	4015963	4016812	LOC_Os02g07709	-	+	expressed_protein
Chr2	4024680	4028689	LOC_Os02g07720	-	+	cytidylyltransferase_domain_containing_protein,expressed
Chr2	4030929	4033572	LOC_Os02g07730	-	+	haloacid_dehalogenase-like_hydrolase_domain-containing_protein_3,putative,expressed
Chr2	4034222	4038406	LOC_Os02g07740	-	+	RNA_binding_protein,putative,expressed
Chr2	4038431	4042357	LOC_Os02g07750	-	-	cell_cycle_control_protein,putative,expressed
Chr2	4044578	4052438	LOC_Os02g07760	-	+	aldehyde_dehydrogenase,putative,expressed
Chr2	4058208	4060231	LOC_Os02g07770	-	-	Myb_transcription_factor,putative,expressed
Chr2	4073883	4077949	LOC_Os02g07780	-	+	OsSPL4_-_SBP-box_gene_family_member,expressed
Chr2	4078379	4081531	LOC_Os02g07790	-	-	serine%2Fthreonine-protein_kinase_HT1,putative,expressed
Chr2	4083023	4086047	LOC_Os02g07800	-	+	transcription_factor,putative,expressed
Chr2	4086437	4089165	LOC_Os02g07810	-	+	inactive_receptor_kinase_At2g26730_precursor,putative,expressed
Chr2	4095630	4098081	LOC_Os02g07820	-	+	DUF581_domain_containing_protein,expressed
Chr2	4103333	4105657	LOC_Os02g07830	OsHKT1;3	+	OsHKT1%3B3_-_Na%2B_transporter,expressed
Chr2	4109770	4112884	LOC_Os02g07840	-	+	bZIP_transcription_factor_domain_containing_protein,expressed
Chr2	4112948	4115856	LOC_Os02g07850	-	-	DUF630%2FDUF632_domains_containing_protein,putative,expressed
Chr2	4117568	4118965	LOC_Os02g07860	-	-	conserved_hypothetical_protein
Chr2	4119976	4127542	LOC_Os02g07870	-	+	ATP_synthase,putative,expressed
Chr2	4129120	4133824	LOC_Os02g07880	-	+	DNA_binding_protein,putative,expressed
Chr2	4134903	4135672	LOC_Os02g07890	-	+	60S_ribosomal_protein_L27a-3,putative,expressed
Chr2	4135897	4140415	LOC_Os02g07900	-	-	ANTH%2FENTH_domain_containing_protein,putative,expressed
Chr2	4141491	4143681	LOC_Os02g07910	-	+	fiber_protein_Fb15,putative,expressed
Chr2	4144322	4147062	LOC_Os02g07920	-	-	expressed_protein
Chr2	4149770	4151244	LOC_Os02g07930	-	-	B-box_zinc_finger_family_protein,putative,expressed
Chr2	4165207	4175345	LOC_Os02g07960	-	-	STRUBBELIG-RECEPTOR_FAMILY_3_precursor,putative,expressed
Chr2	4181868	4182338	LOC_Os02g07970	-	-	expressed_protein
Chr2	4184166	4185812	LOC_Os02g07980	-	-	expressed_protein
Chr2	4186147	4186458	LOC_Os02g07990	-	-	hypothetical_protein
Chr2	4190117	4190500	LOC_Os02g08000	-	-	expressed_protein
Chr2	4195424	4202353	LOC_Os02g08010	-	-	LTPL43_-_Protease_inhibitor%2Fseed_storage%2FLTP_family_protein_precursor,putative,expressed
Chr2	4202299	4202595	LOC_Os02g08014	-	-	expressed_protein
Chr2	4203441	4208370	LOC_Os02g08018	-	-	calcium-transporting_ATPase_9,plasma_membrane-type,putative,expressed
Chr2	4214155	4215194	LOC_Os02g08020	-	-	hypothetical_protein
Chr2	4220950	4223599	LOC_Os02g08030	-	-	aldose_1-epimerase,putative,expressed
Chr2	4234869	4235084	LOC_Os02g08040	-	+	expressed_protein
Chr2	4239053	4240510	LOC_Os02g08050	-	-	expressed_protein
Chr2	4245119	4245481	LOC_Os02g08060	-	-	expressed_protein
Chr2	4247472	4251025	LOC_Os02g08070	-	+	OsSPL5_-_SBP-box_gene_family_member,expressed
Chr2	4264389	4268845	LOC_Os02g08080	-	-	expressed_protein
Chr2	4270528	4274262	LOC_Os02g08090	-	-	LSM_domain_containing_protein,expressed
Chr2	4280499	4285931	LOC_Os02g08100	Os4CL3	+	AMP-binding_domain_containing_protein,expressed
Chr2	4286999	4288841	LOC_Os02g08110	-	-	membrane_associated_DUF588_domain_containing_protein,putative,expressed
Chr2	4293248	4299059	LOC_Os02g08120	-	-	calmodulin_binding_protein,putative,expressed
Chr2	4302073	4309655	LOC_Os02g08130	-	+	FGGY_family_of_carbohydrate_kinases,putative,expressed
Chr2	4306572	4310096	LOC_Os02g08140	-	-	CAMK_KIN1%2FSNF1%2FNim1_like.14_-_CAMK_includes_calcium%2Fcalmodulin_depedent_protein_kinases,expressed
Chr2	4315275	4316961	LOC_Os02g08150	-	+	CCT%2FB-box_zinc_finger_protein,putative,expressed
Chr2	4320546	4324169	LOC_Os02g08160	-	+	OsFBD6_-_F-box_and_FBD_domain_containing_protein,expressed
Chr2	4326075	4326888	LOC_Os02g08170	-	-	GDU1,putative,expressed
Chr2	4332272	4332781	LOC_Os02g08180	-	+	protein_transport_protein_SEC61_subunit_gamma,putative,expressed
Chr2	4334586	4338102	LOC_Os02g08190	-	-	CYPRO4,putative,expressed
Chr2	4341775	4342167	LOC_Os02g08200	-	-	zinc_finger,C3HC4_type_domain_containing_protein,expressed
Chr2	4346843	4350250	LOC_Os02g08210	-	-	expressed_protein
Chr2	4350872	4352048	LOC_Os02g08220	-	+	expressed_protein
Chr2	4355045	4362388	LOC_Os02g08230	-	-	WAX2,putative,expressed
Chr2	4376788	4380323	LOC_Os02g08240	-	+	STE_PAK_Ste20_STLK.1_-_STE_kinases_include_homologs_to_sterile_7,sterile_11_and_sterile_20_from_yeast,expressed
Chr2	4380626	4381921	LOC_Os02g08250	-	+	expressed_protein
Chr2	4384188	4388042	LOC_Os02g08260	-	+	HD_domain_containing_protein_2,putative,expressed
Chr2	4390133	4393564	LOC_Os02g08270	-	-	class_I_glutamine_amidotransferase,putative,expressed
Chr2	4407946	4412805	LOC_Os02g08300	-	+	RAD23_DNA_repair_protein,putative,expressed
Chr2	4412800	4415060	LOC_Os02g08310	-	-	tubby,putative,expressed
Chr2	4423146	4424236	LOC_Os02g08320	-	+	haemolysin-III,putative,expressed
Chr2	4424439	4426620	LOC_Os02g08330	-	-	gp176,putative,expressed
Chr2	4432874	4438116	LOC_Os02g08350	-	-	expressed_protein
Chr2	4440184	4448768	LOC_Os02g08360	-	+	RNA_recognition_motif,putative,expressed
Chr2	4449777	4454808	LOC_Os02g08364	-	+	protein_phosphatase_2C,putative,expressed
Chr2	4454840	4457748	LOC_Os02g08370	-	-	ubiquitin_carboxyl-terminal_hydrolase,family_1,putative,expressed
Chr2	4460300	4463704	LOC_Os02g08380	-	+	CR084_protein,putative,expressed
Chr2	4481872	4483470	LOC_Os02g08400	-	+	HLS,putative,expressed
Chr2	4486471	4489409	LOC_Os02g08410	-	-	chorismate_mutase,chloroplast_precursor,putative,expressed
Chr2	4497077	4500449	LOC_Os02g08420	-	+	cinnamoyl_CoA_reductase,putative,expressed
Chr2	4542762	4544983	LOC_Os02g08440	OsWRKY71	+	WRKY71,expressed
Chr2	4557020	4557268	LOC_Os02g08460	-	+	expressed_protein
Chr2	4558842	4559968	LOC_Os02g08470	-	+	expressed_protein
Chr2	4563050	4566686	LOC_Os02g08480	-	+	ubiquitin_fusion_degradation_protein,putative,expressed
Chr2	4567617	4573049	LOC_Os02g08490	-	-	chaperone_protein_clpB_1,putative,expressed
Chr2	4573806	4578363	LOC_Os02g08500	LEPTO1|OsRR24|DLC1	-	two-component_response_regulator,putative,expressed
Chr2	4594375	4595386	LOC_Os02g08510	-	-	ZOS2-04_-_C2H2_zinc_finger_protein,expressed
Chr2	4599038	4601200	LOC_Os02g08520	-	-	peptidase,T1_family,putative,expressed
Chr2	4604012	4607666	LOC_Os02g08530	-	-	protein_kinase_family_protein,putative,expressed
Chr2	4616830	4622111	LOC_Os02g08540	-	+	expressed_protein
Chr2	4625395	4628868	LOC_Os02g08544	-	+	homeobox_protein_knotted-1,putative,expressed
Chr2	4629594	4630173	LOC_Os02g09050	-	-	expressed_protein
Chr2	4630330	4634623	LOC_Os02g09060	APIP10	-	BRCA1-associated_protein,putative,expressed
Chr2	4640152	4641461	LOC_Os02g09070	-	-	zinc-binding_protein,putative,expressed
Chr2	4650575	4653983	LOC_Os02g09080	-	+	expressed_protein
Chr2	4656070	4656417	LOC_Os02g09090	-	+	expressed_protein
Chr2	4658136	4668902	LOC_Os02g09100	-	-	isoleucyl-tRNA_synthetase,cytoplasmic,putative,expressed
Chr2	4676850	4679925	LOC_Os02g09120	-	-	isoleucyl-tRNA_synthetase,cytoplasmic,putative,expressed
Chr2	4681347	4689703	LOC_Os02g09130	-	-	palmitoyltransferase_TIP1,putative,expressed
Chr2	4690518	4693590	LOC_Os02g09140	-	+	bfr-2,putative,expressed
Chr2	4693810	4699300	LOC_Os02g09150	-	-	inorganic_H%2B_pyrophosphatase,putative,expressed
Chr2	4704823	4706528	LOC_Os02g09160	-	-	expressed_protein
Chr2	4708493	4716880	LOC_Os02g09170	-	+	sucrose-phosphate_synthase,putative,expressed
Chr2	4717665	4720658	LOC_Os02g09180	-	+	CUE_domain_containing_protein,expressed
Chr2	4720935	4722712	LOC_Os02g09190	-	-	cytochrome_P450,putative,expressed
Chr2	4724221	4726015	LOC_Os02g09200	-	-	cytochrome_P450_71D10,putative,expressed
Chr2	4729994	4730320	LOC_Os02g09210	-	+	hypothetical_protein
Chr2	4740044	4743193	LOC_Os02g09220	-	+	cytochrome_P450,putative,expressed
Chr2	4747253	4748213	LOC_Os02g09230	-	+	expressed_protein
Chr2	4754173	4756309	LOC_Os02g09240	-	+	cytochrome_P450_71D8,putative,expressed
Chr2	4765151	4767215	LOC_Os02g09250	-	+	cytochrome_P450_71D10,putative,expressed
Chr2	4768846	4771125	LOC_Os02g09260	-	+	cytochrome_P450_71A1,putative,expressed
Chr2	4774336	4776362	LOC_Os02g09270	-	+	cytochrome_P450_71A1,putative,expressed
Chr2	4779350	4780271	LOC_Os02g09280	-	-	expressed_protein
Chr2	4785203	4787184	LOC_Os02g09290	-	+	cytochrome_P450_71D10,putative,expressed
Chr2	4787847	4789277	LOC_Os02g09300	-	-	hypothetical_protein
Chr2	4791457	4793241	LOC_Os02g09310	-	+	cytochrome_P450,putative,expressed
Chr2	4796082	4797937	LOC_Os02g09320	-	+	cytochrome_P450,putative,expressed
Chr2	4800374	4802382	LOC_Os02g09330	-	+	cytochrome_P450,putative,expressed
Chr2	4802880	4806459	LOC_Os02g09340	-	-	expressed_protein
Chr2	4808234	4817119	LOC_Os02g09359	-	-	BRASSINOSTEROID_INSENSITIVE_1-associated_receptor_kinase_1_precursor,putative,expressed
Chr2	4820464	4822685	LOC_Os02g09380	-	+	expressed_protein
Chr2	4824246	4825855	LOC_Os02g09390	-	+	cytochrome_P450,putative,expressed
Chr2	4826405	4828225	LOC_Os02g09400	-	+	cytochrome_P450,putative,expressed
Chr2	4828671	4830333	LOC_Os02g09410	-	+	cytochrome_P450,putative,expressed
Chr2	4831146	4835216	LOC_Os02g09420	-	+	cyclase_family_protein,putative,expressed
Chr2	4838492	4841905	LOC_Os02g09430	-	-	exostosin_family_domain_containing_protein,expressed
Chr2	4843093	4847183	LOC_Os02g09440	-	-	expressed_protein
Chr2	4847700	4852504	LOC_Os02g09450	MTD1	-	glycerophosphoryl_diester_phosphodiesterase_family_protein,putative,expressed
Chr2	4855908	4859073	LOC_Os02g09460	-	-	GA16396-PA,putative,expressed
Chr2	4859711	4862875	LOC_Os02g09470	-	+	tic21,putative,expressed
Chr2	4867674	4869380	LOC_Os02g09480	-	+	myb-like_DNA-binding_domain_containing_protein,putative,expressed
Chr2	4870142	4874082	LOC_Os02g09490	GH2|OsCAD2	-	dehydrogenase,putative,expressed
Chr2	4879069	4879440	LOC_Os02g09500	-	-	expressed_protein
Chr2	4888513	4890159	LOC_Os02g09510	-	-	limonoid_UDP-glucosyltransferase,putative,expressed
Chr2	4906982	4907299	LOC_Os02g09520	-	+	expressed_protein
Chr2	4908802	4910881	LOC_Os02g09530	-	-	expressed_protein
Chr2	4912803	4913454	LOC_Os02g09540	-	-	expressed_protein
Chr2	4932765	4935972	LOC_Os02g09580	-	+	OsFBX39_-_F-box_domain_containing_protein,expressed
Chr2	4936410	4937806	LOC_Os02g09590	-	-	ribosome,putative,expressed
Chr2	4938608	4942075	LOC_Os02g09600	-	-	expressed_protein
Chr2	4942762	4944255	LOC_Os02g09610	-	+	GDSL-like_lipase%2Facylhydrolase,putative,expressed
Chr2	4944660	4948386	LOC_Os02g09620	-	+	GDSL-like_lipase%2Facylhydrolase,putative,expressed
Chr2	4949532	4952483	LOC_Os02g09630	-	-	GA20292-PA,putative,expressed
Chr2	4954138	4955521	LOC_Os02g09640	-	-	expressed_protein
Chr2	4958350	4959662	LOC_Os02g09650	-	-	AP2_domain_containing_protein,expressed
Chr2	4965204	4965470	LOC_Os02g09660	-	+	expressed_protein
Chr2	4966920	4973686	LOC_Os02g09670	-	+	MYB_protein,putative,expressed
Chr2	4974454	4984763	LOC_Os02g09690	-	+	expressed_protein
Chr2	4985043	4985863	LOC_Os02g09710	-	+	expressed_protein
Chr2	4988483	4998043	LOC_Os02g09720	-	-	multidrug_resistance_protein,putative,expressed
Chr2	5014837	5017780	LOC_Os02g09730	-	+	hypothetical_protein
Chr2	5019765	5028028	LOC_Os02g09740	-	+	STRUBBELIG-RECEPTOR_FAMILY_7_precursor,putative,expressed
Chr2	5028562	5030420	LOC_Os02g09750	beta-OsLCY	-	lycopene_beta_cyclase,chloroplast_precursor,putative,expressed
Chr2	5033316	5034311	LOC_Os02g09760	-	-	expressed_protein
Chr2	5038459	5043329	LOC_Os02g09770	-	-	abhydrolase_domain-containing_protein_FAM108C1,putative,expressed
Chr2	5045335	5047101	LOC_Os02g09780	-	-	phytoene_dehydrogenase-like,putative,expressed
Chr2	5048656	5052503	LOC_Os02g09790	-	-	disease_resistance_protein_RPM1,putative,expressed
Chr2	5054309	5058039	LOC_Os02g09800	-	+	pentatricopeptide,putative,expressed
Chr2	5058716	5061965	LOC_Os02g09810	-	-	amino_acid_transporter,putative,expressed
Chr2	5063137	5066805	LOC_Os02g09820	-	+	zinc_finger,C3HC4_type_domain_containing_protein,expressed
Chr2	5067166	5068042	LOC_Os02g09830	OsbZIP16	-	bZIP_transcription_factor_domain_containing_protein,expressed
Chr2	5071315	5075536	LOC_Os02g09840	-	-	serine%2Fthreonine-protein_phosphatase_2A_regulatory_subunit_B_subunitbeta,putative,expressed
Chr2	5078943	5079712	LOC_Os02g09850	-	-	expressed_protein
Chr2	5112715	5112945	LOC_Os02g09880	-	+	hypothetical_protein
Chr2	5118284	5121952	LOC_Os02g09890	-	-	protein_kinase_PKN%2FPRK1,effector,putative,expressed
Chr2	5131380	5132629	LOC_Os02g09910	-	+	PHD-finger_domain_containing_protein,putative,expressed
Chr2	5145548	5151131	LOC_Os02g09920	-	+	PHD-finger_domain_containing_protein,putative,expressed
Chr2	5151783	5158917	LOC_Os02g09930	-	-	CSLA1_-_cellulose_synthase-like_family_A%3B_mannan_synthase,expressed
Chr2	5166991	5168040	LOC_Os02g09940	-	-	peroxiredoxin,putative,expressed
Chr2	5179753	5182124	LOC_Os02g09960	OsRLK2|OsNFR5	+	LYK8,putative,expressed
Chr2	5183533	5184380	LOC_Os02g09970	-	-	expressed_protein
Chr2	5188886	5189802	LOC_Os02g09980	-	-	expressed_protein
Chr2	5193974	5195290	LOC_Os02g09990	-	-	expressed_protein
Chr2	5202094	5204591	LOC_Os02g10000	-	-	zinc-binding_protein,putative,expressed
Chr2	5207168	5208686	LOC_Os02g10010	-	+	expressed_protein
Chr2	5209234	5212387	LOC_Os02g10020	-	+	Mad3%2FBUB1_homology_region_1_domain_containing_protein,expressed
Chr2	5216902	5218063	LOC_Os02g10030	-	+	expressed_protein
Chr2	5220252	5221800	LOC_Os02g10040	-	-	guanine_nucleotide-exchange_protein_like,putative,expressed
Chr2	5228734	5231341	LOC_Os02g10050	-	+	expressed_protein
Chr2	5238182	5242116	LOC_Os02g10060	-	+	SWIRM_domain_containing_protein,expressed
Chr2	5242705	5249326	LOC_Os02g10070	-	-	citrate_synthase,putative,expressed
Chr2	5250031	5253741	LOC_Os02g10080	-	+	zinc_finger_C-x8-C-x5-C-x3-H_type_family_protein,expressed
Chr2	5254080	5257596	LOC_Os02g10090	-	-	expressed_protein
Chr2	5259819	5266512	LOC_Os02g10100	OsSRK	-	leucine-rich_repeat_receptor_protein_kinase_EXS_precursor,putative,expressed
Chr2	5270236	5276457	LOC_Os02g10110	-	+	Leucine_Rich_Repeat_family_protein,expressed
Chr2	5276620	5282626	LOC_Os02g10120	OsLOX5	-	lipoxygenase,putative,expressed
Chr2	5297644	5306436	LOC_Os02g10130	-	-	tubulin_binding_cofactor_C,putative,expressed
Chr2	5315120	5318021	LOC_Os02g10140	-	+	bZIP_transcription_factor_domain_containing_protein,expressed
Chr2	5321782	5322422	LOC_Os02g10150	-	+	bZIP_transcription_factor,putative,expressed
Chr2	5324532	5328301	LOC_Os02g10160	-	-	AGAP003371-PA,putative,expressed
Chr2	5329017	5330522	LOC_Os02g10170	-	+	expressed_protein
Chr2	5331895	5336987	LOC_Os02g10180	-	-	dnaJ_homolog_subfamily_C_member,putative,expressed
Chr2	5339008	5344518	LOC_Os02g10190	-	+	DUF1680_domain_containing_protein,putative,expressed
Chr2	5345590	5347486	LOC_Os02g10200	ZFP185	-	zinc_finger_A20_and_AN1_domain-containing_stress-associated_protein,putative,expressed
Chr2	5348720	5350221	LOC_Os02g10210	-	+	expressed_protein
Chr2	5351467	5355147	LOC_Os02g10220	-	+	heat_shock_protein_DnaJ,putative,expressed
Chr2	5357310	5361634	LOC_Os02g10230	-	+	metal_cation_transporter,putative,expressed
Chr2	5364379	5366226	LOC_Os02g10240	-	-	ZOS2-05_-_C2H2_zinc_finger_protein,expressed
Chr2	5369277	5369552	LOC_Os02g10250	-	+	expressed_protein
Chr2	5373056	5380164	LOC_Os02g10260	-	-	outer_membrane_protein,OMP85_family_protein,expressed
Chr2	5404703	5410764	LOC_Os02g10290	OsHMA4	+	copper-transporting_ATPase,putative,expressed
Chr2	5411327	5414291	LOC_Os02g10300	-	+	polygalacturonase,putative,expressed
Chr2	5414913	5418652	LOC_Os02g10310	-	-	fumarylacetoacetase,putative,expressed
Chr2	5422121	5424926	LOC_Os02g10320	-	-	3-oxoacyl-synthase,putative,expressed
Chr2	5442079	5447380	LOC_Os02g10350	-	+	MLO_domain_containing_protein,putative,expressed
Chr2	5451819	5453090	LOC_Os02g10360	-	-	MONOCULM_1,putative,expressed
Chr2	5464034	5464324	LOC_Os02g10370	-	-	hrpN-interacting_protein_from_Malus,putative,expressed
Chr2	5465521	5468118	LOC_Os02g10380	-	-	Regulator_of_chromosome_condensation_domain_containing_protein,expressed
Chr2	5468367	5470496	LOC_Os02g10390	-	-	chlorophyll_A-B_binding_protein,putative,expressed
Chr2	5470929	5475134	LOC_Os02g10400	-	-	expressed_protein
Chr2	5475698	5475958	LOC_Os02g10410	-	-	expressed_protein
Chr2	5477110	5478166	LOC_Os02g10420	-	-	expressed_protein
Chr2	5478698	5480881	LOC_Os02g10430	-	-	1-5-phosphoribosyl-5-5-phosphoribosylaminomethylideneaminoimidazole-4-carboxamide_isomerase,chloroplast_precursor,putative,expressed
Chr2	5482728	5489303	LOC_Os02g10440	-	+	protein_with_a_conserved_N-terminal_region,putative,expressed
Chr2	5490496	5491873	LOC_Os02g10450	-	-	expressed_protein
Chr2	5492446	5493614	LOC_Os02g10460	-	+	expressed_protein
Chr2	5501165	5504381	LOC_Os02g10470	-	+	EF_hand_family_protein,putative,expressed
Chr2	5505016	5508425	LOC_Os02g10480	OsAGAP	+	stromal_membrane-associated_protein,putative,expressed
Chr2	5511434	5517919	LOC_Os02g10490	-	-	expressed_protein
Chr2	5519273	5519921	LOC_Os02g10500	-	-	expressed_protein
Chr2	5523987	5528724	LOC_Os02g10510	-	+	Ubiquitin_family_domain_containing_protein,expressed
Chr2	5529942	5536941	LOC_Os02g10520	-	-	OsSub12_-_Putative_Subtilisin_homologue,expressed
Chr2	5548055	5549536	LOC_Os02g10530	-	+	expressed_protein
Chr2	5550032	5552116	LOC_Os02g10540	-	-	ribosomal_protein_L7%2FL12_C-terminal_domain_containing_protein,expressed
Chr2	5554686	5556179	LOC_Os02g10550	-	+	expressed_protein
Chr2	5560274	5561053	LOC_Os02g10560	-	+	expressed_protein
Chr2	5561298	5563775	LOC_Os02g10570	-	-	expressed_protein
Chr2	5565956	5567620	LOC_Os02g10580	-	+	NB-ARC_domain_containing_disease_resistance_protein,putative,expressed
Chr2	5567952	5569801	LOC_Os02g10590	-	-	peptidyl-prolyl_cis-trans_isomerase,FKBP-type,putative,expressed
Chr2	5573182	5578016	LOC_Os02g10600	-	+	OsFBA1_-_F-box_and_FBA_domain_containing_protein,expressed
Chr2	5584279	5586144	LOC_Os02g10614	-	+	expressed_protein
Chr2	5586939	5593645	LOC_Os02g10630	-	-	GRAM_and_C2_domains_containing_protein,putative,expressed
Chr2	5595400	5600889	LOC_Os02g10640	OsRPT4	-	26S_protease_regulatory_subunit,putative,expressed
Chr2	5604236	5609533	LOC_Os02g10650	-	+	CRAL%2FTRIO_domain_containing_protein,expressed
Chr2	5611553	5614461	LOC_Os02g10660	-	-	glycosyl_hydrolases_family_17,putative,expressed
Chr2	5617300	5619951	LOC_Os02g10670	-	+	expressed_protein
Chr2	5622522	5622924	LOC_Os02g10680	-	-	expressed_protein
Chr2	5623352	5627373	LOC_Os02g10690	-	+	targeting_protein_for_Xklp2,putative,expressed
Chr2	5628039	5631315	LOC_Os02g10700	-	-	OsFBL7_-_F-box_domain_and_LRR_containing_protein,expressed
Chr2	5639315	5640360	LOC_Os02g10710	-	-	hsp20%2Falpha_crystallin_family_protein,putative,expressed
Chr2	5640774	5644630	LOC_Os02g10720	-	-	expressed_protein
Chr2	5654429	5655494	LOC_Os02g10730	-	-	expressed_protein
Chr2	5663004	5668429	LOC_Os02g10740	-	-	calcium-binding_mitochondrial_carrier_CBG00135,putative,expressed
Chr2	5670091	5672334	LOC_Os02g10750	-	-	CBL-interacting_protein_kinase,putative,expressed
Chr2	5688698	5689806	LOC_Os02g10760	OsWR1	+	AP2_domain_containing_protein,expressed
Chr2	5694660	5697834	LOC_Os02g10770	-	-	DEAD-box_ATP-dependent_RNA_helicase_41,putative,expressed
Chr2	5706636	5709127	LOC_Os02g10780	OsSPX2	+	SPX_domain_containing_protein,putative,expressed
Chr2	5709842	5724705	LOC_Os02g10790	-	-	expressed_protein
Chr2	5727688	5732172	LOC_Os02g10794	-	-	expressed_protein
Chr2	5736604	5738853	LOC_Os02g10800	OsBT1-1|OsBT1	+	mitochondrial_carrier_protein,putative,expressed
Chr2	5740408	5742520	LOC_Os02g10810	-	-	protein_of_unknown_function_domain_containing_protein,expressed
Chr2	5744792	5748141	LOC_Os02g10820	-	-	Sel1_repeat_domain_containing_protein,putative,expressed
Chr2	5748604	5749500	LOC_Os02g10830	-	-	serine_acetyltransferase_protein,putative,expressed
Chr2	5755371	5758098	LOC_Os02g10850	-	-	OsFBK3_-_F-box_domain_and_kelch_repeat_containing_protein,expressed
Chr2	5760034	5763645	LOC_Os02g10860	-	-	bZIP_transcription_factor_domain_containing_protein,expressed
Chr2	5768300	5768731	LOC_Os02g10870	-	+	hypothetical_protein
Chr2	5775949	5777385	LOC_Os02g10880	-	+	UDP-glucoronosyl_and_UDP-glucosyl_transferase_domain_containing_protein,expressed
Chr2	5779673	5779987	LOC_Os02g10890	-	+	expressed_protein
Chr2	5785295	5788769	LOC_Os02g10900	RLS1	-	NB-ARC_domain_containing_protein,expressed
Chr2	5798886	5806501	LOC_Os02g10920	SRZ1	-	zinc_finger_family_protein,putative,expressed
Chr2	5806604	5806954	LOC_Os02g10930	-	+	expressed_protein
Chr2	5812094	5813493	LOC_Os02g10940	-	-	tetratricopeptide_repeat_domain_containing_protein,expressed
Chr2	5816586	5819181	LOC_Os02g10950	-	-	expressed_protein
Chr2	5824528	5825141	LOC_Os02g10960	-	-	expressed_protein
Chr2	5826295	5834386	LOC_Os02g10970	-	+	peptidyl-prolyl_cis-trans_isomerase,putative,expressed
Chr2	5835517	5838974	LOC_Os02g10990	-	+	FAD_binding_domain_of_DNA_photolyase_domain_containing_protein,expressed
Chr2	5841781	5847597	LOC_Os02g11000	-	+	agenet_domain_containing_protein,putative,expressed
Chr2	5851856	5855893	LOC_Os02g11010	-	-	expressed_protein
Chr2	5862711	5865569	LOC_Os02g11020	CYP734A2	-	cytochrome_P450_72A1,putative,expressed
Chr2	5906973	5909620	LOC_Os02g11030	-	-	50S_ribosomal_protein_L19,chloroplast_precursor,putative,expressed
Chr2	5912591	5914192	LOC_Os02g11040	-	-	expressed_protein
Chr2	5918931	5923654	LOC_Os02g11050	-	-	26S_protease_regulatory_subunit,putative,expressed
Chr2	5924720	5930096	LOC_Os02g11060	-	+	WD_domain,G-beta_repeat_domain_containing_protein,expressed
Chr2	5930193	5933079	LOC_Os02g11070	-	-	3-ketoacyl-CoA_synthase,putative,expressed
Chr2	5935644	5936940	LOC_Os02g11080	-	+	hypothetical_protein
Chr2	5952319	5952699	LOC_Os02g11100	-	+	expressed_protein
Chr2	5955000	5957302	LOC_Os02g11110	-	-	flavonol-3-O-glycoside-7-O-glucosyltransferase_1,putative,expressed
Chr2	5966029	5967668	LOC_Os02g11130	-	-	cytokinin-O-glucosyltransferase_3,putative,expressed
Chr2	5978154	5979961	LOC_Os02g11640	-	-	UDP-glucoronosyl_and_UDP-glucosyl_transferase,putative,expressed
Chr2	6002790	6003758	LOC_Os02g11670	-	+	glucosyltransferase,putative,expressed
